#lambda/nm	DC	C1
573.343	48100.8	48149.8
573.75	48221.8	48365.6
574.177	48406.8	48498.6
574.583	48409.6	48544.4
574.99	48657.2	48704.6
575.396	48805.2	48761.4
575.824	48746.4	48971.4
576.231	49028.6	49086.8
576.637	49155.6	49147.8
577.065	49207	49369.6
577.472	49394	49473.8
577.879	49476	49512
578.286	49597.4	49612.4
578.714	49681.2	49773
579.121	49785	49817.6
579.528	49876	49943.2
579.935	49999.2	50110.8
580.364	50310.2	50211
580.771	50278.8	50198.8
581.178	50415.2	50387.8
581.585	50358.4	50442.4
582.014	50541	50465.8
582.421	50663	50634.2
582.829	50710	50630.8
583.236	50753.8	50936.6
583.644	50872.2	50872.8
584.073	50867.2	50939.8
584.481	50908.8	51021.6
584.889	51048.8	51134.8
585.296	51039.6	51195.8
585.726	51204	51164
586.134	51359.4	51211.6
586.542	51273.8	51314.6
586.95	51335.2	51538.8
587.358	51474.4	51426.2
587.787	51526.4	51461.6
588.196	51570.2	51484
588.604	51534.8	51499.8
589.012	51502.2	51626.6
589.421	51665.6	51637.6
589.851	51699.4	51703.8
590.259	51706.8	51581.4
590.668	51685.4	51826.2
591.076	51676.6	51715.4
591.485	51772.4	51718
591.894	51716.8	51836.4
592.324	51807.4	51743.4
592.733	51827.6	51811.4
593.142	51870.8	51845.2
593.551	51737.6	51691.6
593.96	51801	51871.8
594.369	51752.6	51806.4
594.8	51803.6	51886.6
595.209	51880.2	51798.6
595.618	51802	51829.6
596.028	51761.4	51693.6
596.437	51711.2	51695.6
596.847	51702.2	51773
597.256	51723.2	51823.8
597.687	51701.8	51617.8
598.097	51610.4	51646
598.507	51563.6	51649
598.917	51447.2	51624.6
599.327	51526.2	51459.2
599.736	51398.6	51516
600.146	51393.6	51418.4
600.556	51238.4	51276.6
600.988	51177	51269
601.398	51219.2	51143.4
601.808	51149.6	51195.2
602.219	51080.8	51100.4
602.629	50922.4	51024.2
603.039	50781.8	50863.8
603.45	50746.6	50742.4
603.86	50619.6	50662.4
604.271	50544.4	50580.2
604.703	50432.4	50477.4
605.114	50363	50424.8
605.525	50326.4	50276.2
605.935	50162.8	50265.6
606.346	50146	50061.6
606.757	49960.8	50042.6
607.168	49834	49886.2
607.579	49732.2	49690.2
607.99	49566.6	49611.6
608.402	49510.6	49599.4
608.813	49351.2	49500
609.224	49201.4	49223.4
609.636	49020.4	49082
610.047	49014	48877
610.48	48844	48828.4
610.892	48617	48717.8
611.303	48602.6	48692.8
611.715	48445.6	48508
612.127	48267.8	48277
612.539	48143.8	48161.8
